sbi_trust_code,ER,title,fee,last_day,firm
20331C177,0.0548,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.187%以内,無期限,三菱ＵＦＪ国際投信
20331809A,0.0546,三菱ＵＦＪ国際－ｅＭＡＸＩＳ新興国株式インデックス,null,null,null
247311163,0.0546,Ｏｎｅ－たわらノーロード,0.374%以内,無期限,アセットマネジメントＯｎｅ
26431208C,0.0535,三井住友ＴＡＭ－ＳＭＴ,null,null,null
23431218A,0.0533,ドイチェ－ＤＷＳ,null,null,null
22931517A,0.0517,ニッセイ－＜購入・換金手数料なし＞ニッセイ新興国株式インデックスファンド,0.2079%以内,無期限,ニッセイアセットマネジメント
20231314B,0.0507,日興－インデックスファンドＭＬＰ（１年決算型）,null,null,null
28931117C,0.0486,ＳＢＩ－ＳＢＩ・新興国株式インデックス・ファンド,0.176%程度,無期限,ＳＢＩアセットマネジメント
242311184,0.0479,ピクテ－ｉＴｒｕｓｔインド株式,null,null,null
289312135,0.0467,ＳＢＩ－ＥＸＥ－ｉ新興国株式ファンド,null,null,null
245312138,0.0464,ＳＯＭＰＯ－日本金融ハイブリッド証券オープン（毎月分配型）円ヘッジなしコース,0.924%,2023/06/14,ＳＯＭＰＯアセットマネジメント
20131613B,0.0452,野村－米国エネルギー革命関連ファンド（年１回決算型）為替ヘッジなし,null,null,null
203313215,0.0449,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
201313135,0.0444,野村－米国エネルギー革命関連ファンドＢコース（為替ヘッジなし）,1.793%程度,2023/09/27,野村アセットマネジメント
203317211,0.0435,三菱ＵＦＪ国際－ベイリー・ギフォード世界長期成長株ファンド（予想分配金提示型）,1.6445％程度,2039/01/25,三菱ＵＦＪ国際投信
203316126,0.0434,三菱ＵＦＪ国際－三菱ＵＦＪ,1.63%程度,2027/06/18,三菱ＵＦＪ国際投信
203311191,0.043,三菱ＵＦＪ国際－ベイリー・ギフォード世界長期成長株ファンド,1.6445%程度,2039/01/25,三菱ＵＦＪ国際投信
247312201,0.0418,Ｏｎｅ－Ｏｎｅフォーカス,null,null,null
258311081,0.0398,アムンディ－アムンディ・アラブ株式ファンド,null,null,null
235312149,0.0372,ＧＳ－ＧＳ,null,null,null
289312218,0.0364,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
258311008,0.0359,アムンディ－アムンディ・ターゲット・ジャパン・ファンド,null,null,null
29Y316137,0.0357,カレラ－カタール・アブダビ株式ファンド,null,null,null
20431R169,0.0357,大和－ｉＦｒｅｅ,0.374%,無期限,大和アセットマネジメント
203311112,0.0356,三菱ＵＦＪ国際－三菱ＵＦＪ,null,null,null
217311117,0.0355,ＪＰＭ－ＪＰＭアジア・オセアニア高配当株式ファンド,1.617%,無期限,ＪＰモルガン・アセット・マネジメント
28331109B,0.0351,イーストスプリ－イーストスプリング・インドネシア株式オープン,null,null,null
27931603B,0.035,三井住友ＤＳ－トヨタ自動車／トヨタグループ株式ファンド,null,null,null
247313046,0.0343,Ｏｎｅ－みずほＵＳハイイールドオープンＢコース（為替ヘッジなし）,1.54%,無期限,アセットマネジメントＯｎｅ
21031A169,0.0341,Ｔ＆Ｄ－ロボット戦略,2.212%程度＋成功報酬,2026/08/24,Ｔ＆Ｄアセットマネジメント
242313177,0.034,ピクテ－ｉＴｒｕｓｔプレミアム・ブランド,null,null,null
229311148,0.0334,ニッセイ－ニッセイ・インド厳選株式ファンド,null,null,null
283311049,0.0333,イーストスプリ－イーストスプリング・インド株式オープン,null,null,null
232315984,0.0332,フィデリティ－フィデリティ・ＵＳハイ・イールド・ファンド,1.738%,無期限,フィデリティ投信
204312217,0.0332,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
247311136,0.0329,Ｏｎｅ－ＤＩＡＭシェール株ファンド,null,null,null
232313135,0.0328,フィデリティ－フィデリティ・ＵＳハイ・イールド・ファンド（資産成長型）,1.65%,無期限,フィデリティ投信
29731220A,0.0321,ＰａｙＰａｙ－ＰａｙＰａｙ投信,null,null,null
204313181,0.0312,大和－ｉＦｒｅｅＡｃｔｉｖｅ,null,null,null
26431218C,0.0311,三井住友ＴＡＭ－ＮＷＱフレキシブル・インカムファンド為替ヘッジなし（毎月決算型）,1.6775%程度,2028/11/27,三井住友トラスト・アセットマネジメント
28531121C,0.0309,ＢＮＹメロン－ＢＮＹメロン・米国株式ダイナミック戦略ファンド（予想分配金提示型）,2.035％,2028/05/17,ＢＮＹメロン・インベストメント・マネジメント・ジャパン
202312177,0.0305,日興－ゴールド・ファンド（為替ヘッジなし）,0.407%,2027/07/08,日興アセットマネジメント
26431917B,0.0304,三井住友ＴＡＭ－ＳＭＴ,0.275%,無期限,三井住友トラスト・アセットマネジメント
24831M139,0.0301,ブラックロック－ｉシェアーズ,0.5085%程度,無期限,ブラックロック・ジャパン
203311061,0.0296,三菱ＵＦＪ国際－世界資源株ファンド,null,null,null
289311218,0.0294,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
289311077,0.0291,ＳＢＩ－ＳＢＩインド＆ベトナム株ファンド,null,null,null
201318164,0.0278,野村－野村ＰＩＭＣＯ・世界インカム戦略ファンドＢコース為替ヘッジなし年２回決算型,null,null,null
293312139,0.0274,キャピタル・インターナショナル－キャピタルエマージングストラテジーＦ,null,null,null
24731101C,0.0272,Ｏｎｅ－ＭＨＡＭ,1.815%,無期限,アセットマネジメントＯｎｅ
203311215,0.0261,三菱ＵＦＪ国際－米国株式トレンド・ウォッチ戦略ファンド,null,null,null
26431218A,0.0253,三井住友ＴＡＭ－ＳＭＴ,null,null,null
202312136,0.0252,日興－ノーロード・シンガポール高配当株式フォーカス（毎月分配型）,1.595%程度,2023/06/15,日興アセットマネジメント
251312073,0.0243,ＨＳＢＣ－ＨＳＢＣ,null,null,null
235311135,0.0243,ＧＳ－ＧＳ,2.0075%,無期限,ゴールドマン・サックス・アセット・マネジメント
202312145,0.0242,日興－ノーロード・インド株式フォーカス（毎月分配型）,1.8%程度,2024/03/14,日興アセットマネジメント
279311169,0.0235,三井住友ＤＳ－グローバルＡＩファンド,null,null,null
229312206,0.0233,ニッセイ－＜購入・換金手数料なし＞ニッセイ世界株式ファンド（ＧＤＰ型バスケット）,0.1144％以内,無期限,ニッセイアセットマネジメント
28331106B,0.0233,イーストスプリ－イーストスプリング・インド・インフラ株式ファンド,null,null,null
28931221B,0.0223,ＳＢＩ－ＳＢＩ,0.1338％程度,無期限,ＳＢＩアセットマネジメント
232312135,0.0215,フィデリティ－フィデリティストラテジックインカムファンド資産成長型Ｄ為替ヘッジ無,null,null,null
203312968,0.0215,三菱ＵＦＪ国際－三菱ＵＦＪ,null,null,null
203316136,0.0211,三菱ＵＦＪ国際－三菱ＵＦＪ,2.002%程度,2024/06/24,三菱ＵＦＪ国際投信
209311143,0.021,岡三－中小型成長株オープン,null,null,null
24831207C,0.0208,ブラックロック－ブラックロック天然資源株ファンド,null,null,null
20331419B,0.0206,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞年２回決算型,null,null,null
247313179,0.0205,Ｏｎｅ－厳選ジャパン,1.694%,無期限,アセットマネジメントＯｎｅ
