sbi_trust_code,ER,title,fee,last_day,firm
203319211,0.1185,三菱ＵＦＪ国際－サイバーセキュリティ株式オープン為替ヘッジなし予想分配金提示型,null,null,null
201313135,0.1182,野村－米国エネルギー革命関連ファンドＢコース（為替ヘッジなし）,1.793%程度,2023/09/27,野村アセットマネジメント
20131613B,0.1182,野村－米国エネルギー革命関連ファンド（年１回決算型）為替ヘッジなし,null,null,null
20431720A,0.1176,大和－ＮＡＳＤＡＱ１００,通常時1.52375％以内／安定運用時0.088％,2023/10/20,大和アセットマネジメント
204314181,0.117,大和－ｉＦｒｅｅＡｃｔｉｖｅ,1.221%,2028/01/28,大和アセットマネジメント
289312203,0.1169,ＳＢＩ－ＳＢＩ中国テクノロジー株ファンド,null,null,null
242313177,0.1164,ピクテ－ｉＴｒｕｓｔプレミアム・ブランド,null,null,null
20331318C,0.1154,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
26431117C,0.1154,三井住友ＴＡＭ－次世代通信関連,1.848%程度,2028/01/07,三井住友トラスト・アセットマネジメント
235312149,0.1134,ＧＳ－ＧＳ,null,null,null
203312968,0.1129,三菱ＵＦＪ国際－三菱ＵＦＪ,null,null,null
204312211,0.1124,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
101315203,0.1085,野村－野村ブル・ベア,1.122％,2023/03/15,野村アセットマネジメント
20331C177,0.1073,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.187%以内,無期限,三菱ＵＦＪ国際投信
20331809A,0.1071,三菱ＵＦＪ国際－ｅＭＡＸＩＳ新興国株式インデックス,null,null,null
247311163,0.107,Ｏｎｅ－たわらノーロード,0.374%以内,無期限,アセットマネジメントＯｎｅ
28931221B,0.1068,ＳＢＩ－ＳＢＩ,0.1338％程度,無期限,ＳＢＩアセットマネジメント
26431208C,0.1055,三井住友ＴＡＭ－ＳＭＴ,null,null,null
289311217,0.1052,ＳＢＩ－ＳＢＩ・中国Ａ株インデックス・ファンド,0.4138％程度,無期限,ＳＢＩアセットマネジメント
233311963,0.1043,ベアリングス－アジア未来成長株式ファンド,null,null,null
264311137,0.1033,三井住友ＴＡＭ－米国成長株式ファンド,null,null,null
242311162,0.1033,ピクテ－ｉＴｒｕｓｔロボ,null,null,null
247311136,0.1031,Ｏｎｅ－ＤＩＡＭシェール株ファンド,null,null,null
22931517A,0.103,ニッセイ－＜購入・換金手数料なし＞ニッセイ新興国株式インデックスファンド,0.2079%以内,無期限,ニッセイアセットマネジメント
204317188,0.1021,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
202314208,0.102,日興－インデックスファンドＮＡＳＤＡＱ１００（アメリカ株式）,null,null,null
20331A211,0.1019,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.44％以内,無期限,三菱ＵＦＪ国際投信
297312216,0.1015,ＰａｙＰａｙ－ＰａｙＰａｙ投信,null,null,null
225316203,0.1013,農林中金－ＮＺＡＭ・ベータ,0.44％,無期限,農林中金全共連アセットマネジメント
204313181,0.1009,大和－ｉＦｒｅｅＡｃｔｉｖｅ,null,null,null
204312212,0.0988,大和－ｉＦｒｅｅレバレッジ,1.169％程度,無期限,大和アセットマネジメント
204314086,0.0973,大和－“ＲＩＣＩ”コモディティ・ファンド,null,null,null
239312065,0.0966,アライアンス－アライアンス・バーンスタイン・米国成長株投信Ｂコース為替ヘッジなし,1.727%,2034/06/15,アライアンス・バーンスタイン
239312149,0.096,アライアンス－アライアンス・バーンスタイン米国成長株投信Ｄ毎月Ｈ無予想分配金提示,1.727%,2034/06/15,アライアンス・バーンスタイン
248313159,0.0956,ブラックロック－ブラックロックＥＳＧ世界株式ファンド（為替ヘッジなし）,null,null,null
25131120B,0.0949,ＨＳＢＣ－ＨＳＢＣ,0.2465％以内,無期限,ＨＳＢＣアセットマネジメント
23531299B,0.0947,ＧＳ－ｎｅｔＷＩＮ,2.09%,無期限,ゴールドマン・サックス・アセット・マネジメント
28931117C,0.0941,ＳＢＩ－ＳＢＩ・新興国株式インデックス・ファンド,0.176%程度,無期限,ＳＢＩアセットマネジメント
268311003,0.0935,朝日－朝日Ｎｖｅｓｔ,1.98%,無期限,朝日ライフアセットマネジメント
268311216,0.0931,朝日－朝日Ｎｖｅｓｔ,null,null,null
29A311196,0.0926,キャピタル－世界ツーリズム株式ファンド,null,null,null
225311203,0.0924,農林中金－ＮＺＡＭ・レバレッジ,0.88％,無期限,農林中金全共連アセットマネジメント
202312188,0.092,日興－グローバル・スペース株式ファンド（１年決算型）,1.925%,2028/06/07,日興アセットマネジメント
203311061,0.0919,三菱ＵＦＪ国際－世界資源株ファンド,null,null,null
26431113C,0.0916,三井住友ＴＡＭ－ＳＭＴＡＭコモディティ・オープン,null,null,null
242311184,0.0916,ピクテ－ｉＴｒｕｓｔインド株式,null,null,null
289312135,0.0915,ＳＢＩ－ＥＸＥ－ｉ新興国株式ファンド,null,null,null
24831207C,0.0912,ブラックロック－ブラックロック天然資源株ファンド,null,null,null
203312196,0.0907,三菱ＵＦＪ国際－ベイリー・ギフォード,1.518%程度,2039/06/24,三菱ＵＦＪ国際投信
20331218C,0.0907,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
218312991,0.0906,インベスコ－インベスコ,1.903%,無期限,インベスコ・アセット・マネジメント
29C31119C,0.0889,レオス－ひふみワールド＋,1.628％以内,無期限,レオス・キャピタルワークス
203313188,0.0886,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
