20331E13A,0.0989,三菱ＵＦＪ国際－三菱ＵＦＪ,1.815%,2023/10/11,三菱ＵＦＪ国際投信
203313215,0.0973,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
289312218,0.0968,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
203312215,0.096,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
20331713A,0.0944,三菱ＵＦＪ国際－三菱ＵＦＪ,1.815%,2023/10/11,三菱ＵＦＪ国際投信
204314181,0.0932,大和－ｉＦｒｅｅＡｃｔｉｖｅ,1.221%,2028/01/28,大和アセットマネジメント
21731798B,0.0907,ＪＰＭ－ＪＰＭアジア株・アクティブ・オープン,null,null,null
20431216C,0.0893,大和－ベトナム株ファンド,null,null,null
24831L139,0.0884,ブラックロック－ｉシェアーズ,1.0085%程度,無期限,ブラックロック・ジャパン
204314208,0.0873,大和－ｉＦｒｅｅレバレッジ,1.275％以内,無期限,大和アセットマネジメント
2AB311171,0.0837,ファイブスター－ベトナム・ロータス・ファンド,null,null,null
210311202,0.0826,Ｔ＆Ｄ－Ｔ＆Ｄ,null,null,null
28931117C,0.0803,ＳＢＩ－ＳＢＩ・新興国株式インデックス・ファンド,0.176%程度,無期限,ＳＢＩアセットマネジメント
210311134,0.0798,Ｔ＆Ｄ－日本債券ベアファンド（５倍型）,null,null,null
217311917,0.0794,ＪＰＭ－ＪＰＭアジア・成長株・ファンド,null,null,null
29A311148,0.0783,キャピタル－ベトナム成長株インカムファンド,null,null,null
289312135,0.0771,ＳＢＩ－ＥＸＥ－ｉ新興国株式ファンド,null,null,null
247312201,0.075,Ｏｎｅ－Ｏｎｅフォーカス,null,null,null
sbi_trust_code,ER,title,fee,last_day,firm
20431B214,0.3771,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
204314208,0.289,大和－ｉＦｒｅｅレバレッジ,1.275％以内,無期限,大和アセットマネジメント
28931317C,0.2606,ＳＢＩ－ＳＢＩ,0.968%,2023/12/05,ＳＢＩアセットマネジメント
29I31115A,0.2606,楽天－楽天日本株４．３倍ブル,1.243%,2025/06/13,楽天投信投資顧問
20431720A,0.2446,大和－ＮＡＳＤＡＱ１００,通常時1.52375％以内／安定運用時0.088％,2023/10/20,大和アセットマネジメント
203312215,0.2322,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
289313218,0.2285,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
204315213,0.2283,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
210311222,0.2228,Ｔ＆Ｄ－Ｓ＆Ｐ５００・４倍ブル型ファンド,1.243％,2025/02/17,Ｔ＆Ｄアセットマネジメント
204313215,0.2183,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
202311207,0.2036,日興－デジタル・トランスフォーメーション株式ファンド,1.7985％,2030/06/07,日興アセットマネジメント
202311215,0.2002,日興－デジタル・トランスフォーメーション株式ファンド（予想分配金提示型）,1.7985％,2030/06/07,日興アセットマネジメント
204312217,0.1992,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
204311181,0.1955,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
289312218,0.1917,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
204314214,0.1909,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
20331419B,0.1883,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞年２回決算型,null,null,null
20331319B,0.1882,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞資産成長型,null,null,null
203313215,0.1824,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
279311169,0.1806,三井住友ＤＳ－グローバルＡＩファンド,null,null,null
204312212,0.1783,大和－ｉＦｒｅｅレバレッジ,1.169％程度,無期限,大和アセットマネジメント
20231116C,0.1772,日興－グローバル・フィンテック株式ファンド,1.925%,2026/12/07,日興アセットマネジメント
29I311096,0.1771,楽天－楽天日本株トリプル・ブル,1.023%,2025/06/13,楽天投信投資顧問
202312179,0.1767,日興－グローバル・フィンテック株式ファンド（年２回決算型）,null,null,null
29A311128,0.1687,キャピタル－世界シェールガス株ファンド,null,null,null
289311218,0.1685,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
27931419A,0.1668,三井住友ＤＳ－グローバルＡＩファンド（予想分配金提示型）,null,null,null
247312201,0.1653,Ｏｎｅ－Ｏｎｅフォーカス,null,null,null
203312223,0.1649,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
26431218A,0.1613,三井住友ＴＡＭ－ＳＭＴ,null,null,null
sbi_trust_code,ER,title,fee,last_day,firm
204314208,0.3096,大和－ｉＦｒｅｅレバレッジ,1.275％以内,無期限,大和アセットマネジメント
20431720A,0.3027,大和－ＮＡＳＤＡＱ１００,通常時1.52375％以内／安定運用時0.088％,2023/10/20,大和アセットマネジメント
210311222,0.2445,Ｔ＆Ｄ－Ｓ＆Ｐ５００・４倍ブル型ファンド,1.243％,2025/02/17,Ｔ＆Ｄアセットマネジメント
204313215,0.226,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
20431B214,0.2191,大和－ｉＦｒｅｅレバレッジ,1.224％程度,無期限,大和アセットマネジメント
20431218A,0.1959,大和－ｉＦｒｅｅレバレッジ,0.99%,無期限,大和アセットマネジメント
202311207,0.1933,日興－デジタル・トランスフォーメーション株式ファンド,1.7985％,2030/06/07,日興アセットマネジメント
202311215,0.1898,日興－デジタル・トランスフォーメーション株式ファンド（予想分配金提示型）,1.7985％,2030/06/07,日興アセットマネジメント
28931317C,0.1849,ＳＢＩ－ＳＢＩ,0.968%,2023/12/05,ＳＢＩアセットマネジメント
29I31115A,0.1848,楽天－楽天日本株４．３倍ブル,1.243%,2025/06/13,楽天投信投資顧問
204311181,0.1786,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
203313195,0.1769,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
204312212,0.1766,大和－ｉＦｒｅｅレバレッジ,1.169％程度,無期限,大和アセットマネジメント
203313215,0.1751,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
20231116C,0.1726,日興－グローバル・フィンテック株式ファンド,1.925%,2026/12/07,日興アセットマネジメント
202312179,0.1721,日興－グローバル・フィンテック株式ファンド（年２回決算型）,null,null,null
20331419B,0.1719,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞年２回決算型,null,null,null
20331319B,0.1716,三菱ＵＦＪ国際－米国ＩＰＯニューステージ・ファンド＜為替ヘッジなし＞資産成長型,null,null,null
204314214,0.1669,大和－テーマレバレッジ,1.4055％程度,2026/03/27,大和アセットマネジメント
279311169,0.1664,三井住友ＤＳ－グローバルＡＩファンド,null,null,null
26431218A,0.1535,三井住友ＴＡＭ－ＳＭＴ,null,null,null
203312215,0.1535,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,null,null,null
27931419A,0.1534,三井住友ＤＳ－グローバルＡＩファンド（予想分配金提示型）,null,null,null
204312217,0.1508,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
20331318C,0.1483,三菱ＵＦＪ国際－ｅＭＡＸＩＳ,0.792%以内,無期限,三菱ＵＦＪ国際投信
247312201,0.1468,Ｏｎｅ－Ｏｎｅフォーカス,null,null,null
289312218,0.1406,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
289313218,0.14,ＳＢＩ－ＳＢＩ・ＧＳ,0.48％程度,無期限,ＳＢＩアセットマネジメント
247316169,0.1352,Ｏｎｅ－グローバル・ハイクオリティ成長株式ファンド（為替ヘッジなし）,null,null,null
204315213,0.1324,大和－ｉＦｒｅｅＮＥＸＴ,null,null,null
